year,cause,State Name,State FIPS,Population,Deaths,Crude Rate,Age Adjusted Rate,YPLL,YPLL Crude Rate,YPLL Age-Adjusted Rate
2020,homicide,New York,36,17114038,575,3.36,3.59,19536,142.14,144.39
2020,homicide,Nevada,32,2758494,164,5.95,6.4,4868,217.4,230.85
2020,homicide,Alaska,2,629766,31,4.92,5.06,877,164.27,172.08
2020,homicide,Michigan,26,8822407,669,7.58,8.42,21278,303.54,317.32
2020,homicide,Arkansas,5,2651018,285,10.75,11.81,8874,419.63,438.3
2020,homicide,Mississippi,28,2597478,497,19.13,20.72,15643,745.78,773.38
2020,homicide,Missouri,29,5404834,681,12.6,13.83,22190,514.24,532.53
2020,homicide,Montana,30,955832,42,4.39,5.14,1300,175.1,186.36
2020,homicide,Kansas,20,2536392,161,6.35,6.79,5309,259.22,263.23
2020,homicide,Indiana,18,5905427,509,8.62,9.26,17508,365.5,372.24
2020,homicide,South Dakota,46,770866,28,3.63,4.07,964,157.08,162.81
2020,homicide,Massachusetts,25,6173906,131,2.12,2.25,4561,91.67,91.76
2020,homicide,Virginia,51,7568959,440,5.81,6.15,14335,232.41,239.12
2020,homicide,District of Colu,11,629153,157,24.95,23.64,5530,1025.37,984.75
2020,homicide,Iowa,19,2770561,84,3.03,3.36,2826,128.2,132.28
2020,homicide,Arizona,4,6537802,411,6.29,6.88,12292,238.04,243.61
2019,homicide,West Virginia,54,1795263,82,4.57,5.2,2407,168.6,177.46
2019,homicide,Florida,12,21492056,1038,4.83,5.3,32696,192.35,199.36
2019,homicide,Illinois,17,12667017,796,6.28,6.59,28222,265.62,268.3
2019,homicide,Minnesota,27,5640053,113,2,2.1,3743,79.29,80.94
2019,homicide,Maryland,24,6054954,485,8.01,8.42,16681,327.42,333.94
2019,homicide,Rhode Island,44,1058158,12,1.13,1.42,341,39.15,45.12
2019,homicide,Idaho,16,1789060,25,1.4,1.57,646,43.12,45.69
2019,homicide,New Hampshire,33,1360783,22,1.62,1.65,438,39.56,42.07
2019,homicide,North Carolina,37,10501384,565,5.38,5.59,18422,210.56,211.74
2019,homicide,Vermont,50,624046,--,--,--,.,.,39.42
2019,homicide,Connecticut,9,3566022,69,1.94,2.12,2202,75.02,77.93
2019,homicide,Delaware,10,976668,47,4.81,5.48,1506,191.31,205.4
2019,homicide,New Mexico,35,2099634,173,8.24,8.91,5465,317.39,322.8
2019,homicide,California,6,39437610,1321,3.35,3.38,42048,125.08,123.96
2019,homicide,New Jersey,34,8891258,194,2.18,2.4,6688,90.19,95.37
2019,homicide,Wisconsin,55,5824581,168,2.88,3.11,5056,105.12,109.76
2019,homicide,Oregon,41,4216116,90,2.14,2.19,2238,64.84,66.48
2019,homicide,Nebraska,31,1932571,44,2.28,2.3,1352,83.39,82.06
2019,homicide,Pennsylvania,42,12798883,556,4.34,4.71,18627,179.02,183.36
2019,homicide,Washington,53,7614024,193,2.54,2.61,5444,84.95,87.3
2019,homicide,Louisiana,22,4658285,549,11.79,12.39,17679,451.43,462.72
2019,homicide,Georgia,13,10628020,704,6.62,6.75,22869,251.06,252.02
2019,homicide,Alabama,1,4907965,491,10,10.73,15029,370.5,384.69
2019,homicide,Utah,49,3203383,57,1.78,1.78,1841,64.86,62.53
2019,homicide,Ohio,39,11696507,575,4.92,5.26,19178,198.68,203.72
2019,homicide,Texas,48,28986794,1351,4.66,4.66,42177,166.97,166.51
2019,homicide,Colorado,8,5758486,185,3.21,3.23,5551,112.94,114.55
2019,homicide,South Carolina,45,5157702,459,8.9,9.53,14915,353.49,360.89
2019,homicide,Oklahoma,40,3960676,246,6.21,6.6,7367,221.6,226.68
2019,homicide,Tennessee,47,6830325,487,7.13,7.55,15675,275.66,283.13
2019,homicide,Wyoming,56,580116,18,3.1,3.1,478,99.54,101.46
2019,homicide,Hawaii,15,1415615,20,1.41,1.51,592,51.63,51.58
2019,homicide,North Dakota,38,763724,10,1.31,1.59,190,29.52,35.82
2019,homicide,Kentucky,21,4472345,208,4.65,4.96,6572,176.57,182.92
2019,homicide,Maine,23,1345770,16,1.19,1.45,541,51.01,56.44
2019,homicide,New York,36,19463131,339,1.74,1.78,11261,69.68,68.43
2019,homicide,Nevada,32,3090771,129,4.17,4.36,3784,145.93,151.28
2019,homicide,Alaska,2,733603,55,7.5,7.71,1618,252.01,259.5
2019,homicide,Michigan,26,9984795,465,4.66,4.96,15331,186.47,188.15
2019,homicide,Arkansas,5,3020985,217,7.18,7.71,6636,265.76,275.58
2019,homicide,Mississippi,28,2978227,371,12.46,13.2,11851,475.61,483.5
2019,homicide,Missouri,29,6140475,543,8.84,9.4,17698,348.47,355.5
2019,homicide,Montana,30,1070123,30,2.8,2.96,740,85.62,88.71
2019,homicide,Kansas,20,2912635,105,3.61,3.73,3476,142.59,142.55
2019,homicide,Indiana,18,6731010,361,5.36,5.59,12200,216.04,217.95
2019,homicide,South Dakota,46,887127,13,1.47,1.55,433,58.88,60.1
2019,homicide,Massachusetts,25,6894883,100,1.45,1.47,3387,59.14,57.65
2019,homicide,Virginia,51,8556642,348,4.07,4.21,11211,155.77,158.21
2019,homicide,District of Colu,11,708253,129,18.21,16.12,4755,766.79,687.69
2019,homicide,Iowa,19,3159596,53,1.68,1.86,1868,71.64,73.42
2019,homicide,Arizona,4,7291843,298,4.09,4.28,9522,159.34,158.22
2018,homicide,West Virginia,54,1805953,70,3.88,4.24,1881,130.11,138.96
2018,homicide,Florida,12,21254926,1001,4.71,5.08,30721,181.67,188.22
2018,homicide,Illinois,17,12724685,793,6.23,6.43,27644,257.5,258.01
2018,homicide,Minnesota,27,5608762,77,1.37,1.51,2651,56.16,59.62
2018,homicide,Maryland,24,6042153,436,7.22,7.48,14019,274.31,280.32
2018,homicide,Rhode Island,44,1059338,13,1.23,1.17,461,52.56,48.02
2018,homicide,Idaho,16,1752074,38,2.17,2.24,994,67.39,69.12
2018,homicide,New Hampshire,33,1355064,18,1.33,1.5,476,42.86,48.03
2018,homicide,North Carolina,37,10391358,506,4.87,5.05,16201,186.18,188.5
2018,homicide,Vermont,50,624802,12,1.92,2.18,295,58.55,63.69
2018,homicide,Connecticut,9,3574561,56,1.57,1.74,1752,59.2,63.03
2018,homicide,Delaware,10,966985,46,4.76,5.53,1664,211.88,227.67
2018,homicide,New Mexico,35,2093754,152,7.26,7.74,4816,278.62,282.13
2018,homicide,California,6,39437463,1355,3.44,3.43,42809,126.69,124.79
2018,homicide,New Jersey,34,8891730,223,2.51,2.7,7317,98.22,102.96
2018,homicide,Wisconsin,55,5809319,165,2.84,3.15,5507,114.08,118.97
2018,homicide,Oregon,41,4183538,82,1.96,2.02,2231,64.72,65.97
2018,homicide,Nebraska,31,1925512,26,1.35,1.44,740,45.58,46.54
2018,homicide,Pennsylvania,42,12809107,598,4.67,4.96,19674,187.83,191.17
2018,homicide,Washington,53,7526793,195,2.59,2.69,6194,97.3,99.34
2018,homicide,Louisiana,22,4664450,501,10.74,11.18,16608,420.92,426.88
2018,homicide,Georgia,13,10519389,669,6.36,6.47,21454,236.84,239.52
2018,homicide,Alabama,1,4891628,472,9.65,10.13,14771,363.4,373.01
2018,homicide,Utah,49,3155153,52,1.65,1.64,1685,60.04,58.11
2018,homicide,Ohio,39,11680892,563,4.82,5.08,17743,183.08,187.66
2018,homicide,Texas,48,28624564,1184,4.14,4.15,37506,149.82,149.83
2018,homicide,Colorado,8,5697155,213,3.74,3.77,6896,141.06,140.92
2018,homicide,South Carolina,45,5091702,377,7.4,7.96,12403,295.95,304.11
2018,homicide,Oklahoma,40,3943488,185,4.69,4.88,5282,158.87,163.17
2018,homicide,Tennessee,47,6778180,513,7.57,7.87,16939,298.71,303.69
2018,homicide,Wyoming,56,579054,14,2.42,2.66,349,72.25,79.01
2018,homicide,Hawaii,15,1423102,26,1.83,1.97,634,54.61,54.92
2018,homicide,North Dakota,38,760062,13,1.71,1.63,475,73.82,71.76
2018,homicide,Kentucky,21,4464273,215,4.82,5.17,6337,169.67,178.2
2018,homicide,Maine,23,1340123,11,0.82,0.76,146,13.72,13.78
2018,homicide,New York,36,19544098,364,1.86,1.9,11898,72.91,72.29
2018,homicide,Nevada,32,3030725,175,5.77,6.09,5357,209.75,219.04
2018,homicide,Alaska,2,736624,41,5.57,5.47,1319,203.07,201.47
2018,homicide,Michigan,26,9987286,488,4.89,5.14,14994,181.2,184.64
2018,homicide,Arkansas,5,3012161,208,6.91,7.21,6103,243.97,249.52
2018,homicide,Mississippi,28,2982879,327,10.96,11.59,10400,414.34,423.44
2018,homicide,Missouri,29,6125986,566,9.24,9.9,18029,353.95,364.26
2018,homicide,Montana,30,1061818,24,2.26,2.4,608,70.4,72.04
2018,homicide,Kansas,20,2912748,124,4.26,4.55,3904,159.2,162.97
2018,homicide,Indiana,18,6698481,373,5.57,5.9,12138,214.96,220.82
2018,homicide,South Dakota,46,879386,19,2.16,2.47,586,79.91,86.32
2018,homicide,Massachusetts,25,6885720,106,1.54,1.55,3578,62.23,59.48
2018,homicide,Virginia,51,8510920,339,3.98,4.11,11328,157.44,159.56
2018,homicide,District of Colu,11,704147,116,16.47,15.22,4148,671.01,620.07
2018,homicide,Iowa,19,3149900,38,1.21,1.29,1202,46.02,46.94
2018,homicide,Arizona,4,7164228,318,4.44,4.63,9549,161.71,160.26
2017,homicide,West Virginia,54,1818683,74,4.07,4.36,1816,123.89,132.6
2017,homicide,Florida,12,20977089,965,4.6,4.97,30233,180.3,186.26
2017,homicide,Illinois,17,12779893,944,7.39,7.61,34465,317.95,319.01
2017,homicide,Minnesota,27,5569283,87,1.56,1.65,2742,58.21,61.24
2017,homicide,Maryland,24,6028186,463,7.68,8.04,15880,309.83,317.49
2017,homicide,Rhode Island,44,1056554,10,0.95,0.98,362,41.19,39.31
2017,homicide,Idaho,16,1719745,30,1.74,1.88,887,60.95,64.2
2017,homicide,New Hampshire,33,1350395,11,0.82,0.9,275,24.67,27.43
2017,homicide,North Carolina,37,10275758,539,5.25,5.41,16711,193.25,196.56
2017,homicide,Vermont,50,625132,--,--,--,.,.,40.37
2017,homicide,Connecticut,9,3575324,77,2.15,2.31,2668,89.67,92.9
2017,homicide,Delaware,10,957942,60,6.26,6.56,2172,277.13,280.54
2017,homicide,New Mexico,35,2092844,119,5.69,6.08,3635,208.89,213.5
2017,homicide,California,6,39337785,1521,3.87,3.87,47841,141.29,139.62
2017,homicide,New Jersey,34,8888147,269,3.03,3.23,9020,120.6,125.7
2017,homicide,Wisconsin,55,5793147,175,3.02,3.21,5623,116.16,120.14
2017,homicide,Oregon,41,4147294,84,2.03,2.13,2361,68.67,71.04
2017,homicide,Nebraska,31,1916998,29,1.51,1.59,923,56.88,58.42
2017,homicide,Pennsylvania,42,12794679,623,4.87,5.2,21055,200.22,204.26
2017,homicide,Washington,53,7427951,196,2.64,2.69,6191,98.08,98.91
2017,homicide,Louisiana,22,4673673,545,11.66,12.03,18090,454.99,460.11
2017,homicide,Georgia,13,10417031,686,6.59,6.62,22574,250.53,250.27
2017,homicide,Alabama,1,4877989,514,10.54,11.09,16004,392.96,402.95
2017,homicide,Utah,49,3103540,59,1.9,1.93,1966,70.98,69.18
2017,homicide,Ohio,39,11665706,642,5.5,5.88,21264,218.65,224.85
2017,homicide,Texas,48,28291024,1291,4.56,4.53,40647,163.67,162.5
2017,homicide,Colorado,8,5617421,179,3.19,3.15,5557,114.71,113.59
2017,homicide,South Carolina,45,5027102,342,6.8,7.19,10671,256.39,262.14
2017,homicide,Oklahoma,40,3933602,229,5.82,6.17,7182,215.67,220.25
2017,homicide,Tennessee,47,6714748,484,7.21,7.66,15750,279.27,288.49
2017,homicide,Wyoming,56,579994,--,--,--,.,.,36.59
2017,homicide,Hawaii,15,1425763,--,--,--,.,.,17.02
2017,homicide,North Dakota,38,756755,--,--,--,.,.,39.01
2017,homicide,Kentucky,21,4455590,240,5.39,5.63,7567,202.04,207.95
2017,homicide,Maine,23,1335743,17,1.27,1.26,382,35.74,37.28
2017,homicide,New York,36,19593849,327,1.67,1.69,10742,65.32,64.51
2017,homicide,Nevada,32,2972097,168,5.65,5.9,5254,208.9,216.43
2017,homicide,Alaska,2,740983,51,6.88,7.01,1526,231.83,231.6
2017,homicide,Michigan,26,9976752,443,4.44,4.7,14118,169.85,172.96
2017,homicide,Arkansas,5,3003855,198,6.59,7.01,6058,241.82,249.53
2017,homicide,Mississippi,28,2990674,301,10.07,10.6,9196,363.56,373.09
2017,homicide,Missouri,29,6111382,570,9.33,9.82,18233,357.16,363.9
2017,homicide,Montana,30,1053862,27,2.56,2.79,739,85.6,91.35
2017,homicide,Kansas,20,2910892,140,4.81,4.97,4411,179.11,181.2
2017,homicide,Indiana,18,6662068,384,5.76,6.02,12502,221.68,226.65
2017,homicide,South Dakota,46,873732,15,1.72,1.94,480,65.51,70.21
2017,homicide,Massachusetts,25,6863560,107,1.56,1.64,3817,66.29,66.4
2017,homicide,Virginia,51,8471011,358,4.23,4.22,11408,158.48,158.04
2017,homicide,District of Colu,11,697079,91,13.05,11.72,3096,504.79,450.08
2017,homicide,Iowa,19,3143734,66,2.1,2.21,2072,79.12,80.09
2017,homicide,Arizona,4,7048088,314,4.46,4.63,9618,164.67,164.42
2016,homicide,West Virginia,54,1832435,89,4.86,5.13,2478,166.62,176.16
2016,homicide,Florida,12,20627237,1006,4.88,5.33,32721,197.57,204.46
2016,homicide,Illinois,17,12821709,960,7.49,7.69,34815,318.55,320.04
2016,homicide,Minnesota,27,5525360,93,1.68,1.74,2907,61.91,63.77
2016,homicide,Maryland,24,6007014,453,7.54,7.9,15675,305.5,313.48
2016,homicide,Rhode Island,44,1057816,14,1.32,1.2,421,47.61,42.1
2016,homicide,Idaho,16,1684036,21,1.25,1.43,564,39.4,43.79
2016,homicide,New Hampshire,33,1343694,--,--,--,.,.,16.23
2016,homicide,North Carolina,37,10161802,582,5.73,5.89,18061,210.21,213.5
2016,homicide,Vermont,50,624366,--,--,--,.,.,32.52
2016,homicide,Connecticut,9,3579830,58,1.62,1.72,2026,67.7,69.21
2016,homicide,Delaware,10,949989,44,4.63,4.93,1628,207.95,209.95
2016,homicide,New Mexico,35,2092555,129,6.17,6.53,4095,233.71,238.11
2016,homicide,California,6,39149186,1541,3.94,3.89,50840,150.23,146.47
2016,homicide,New Jersey,34,8873584,300,3.38,3.64,10392,138.66,146.1
2016,homicide,Wisconsin,55,5775170,196,3.39,3.7,6432,132.56,139.63
2016,homicide,Oregon,41,4093271,89,2.17,2.21,2522,73.93,73.92
2016,homicide,Nebraska,31,1906483,52,2.73,2.88,1458,89.99,93.41
2016,homicide,Pennsylvania,42,12788468,552,4.32,4.6,19198,181.77,184.63
2016,homicide,Washington,53,7299961,165,2.26,2.26,4880,78.36,78.92
2016,homicide,Louisiana,22,4681346,528,11.28,11.71,17460,436.08,442.84
2016,homicide,Georgia,13,10308442,667,6.47,6.52,22374,249.88,251.09
2016,homicide,Alabama,1,4866824,466,9.58,10.09,14612,357.89,367.45
2016,homicide,Utah,49,3044241,55,1.81,1.76,1819,66.77,64.17
2016,homicide,Ohio,39,11640060,572,4.91,5.19,18624,191.04,196.69
2016,homicide,Texas,48,27914064,1257,4.5,4.5,40247,163.7,163.03
2016,homicide,Colorado,8,5543844,180,3.25,3.24,5619,116.96,116.53
2016,homicide,South Carolina,45,4963031,339,6.83,7.16,10505,254.19,260.41
2016,homicide,Oklahoma,40,3928143,238,6.06,6.39,7131,213.57,219.98
2016,homicide,Tennessee,47,6651277,442,6.65,6.86,14124,251.92,255.22
2016,homicide,Wyoming,56,585243,11,1.88,2.05,211,42.47,49.63
2016,homicide,Hawaii,15,1428885,26,1.82,1.89,722,61.06,63.67
2016,homicide,North Dakota,38,756114,10,1.32,1.29,369,57.09,52.03
2016,homicide,Kentucky,21,4440306,249,5.61,5.97,7556,201.56,210.87
2016,homicide,Maine,23,1332348,--,--,--,.,.,19.46
2016,homicide,New York,36,19636391,403,2.05,2.09,13734,82.92,81.74
2016,homicide,Nevada,32,2919555,158,5.41,5.67,5008,201.86,208.72
2016,homicide,Alaska,2,742575,51,6.87,7,1681,253.06,259.14
2016,homicide,Michigan,26,9954117,487,4.89,5.16,15822,189.79,193.11
2016,homicide,Arkansas,5,2991815,188,6.28,6.57,5493,219.35,225.56
2016,homicide,Mississippi,28,2990595,288,9.63,10.03,9327,367.03,372.08
2016,homicide,Missouri,29,6091384,473,7.77,8.22,15152,296.5,303.8
2016,homicide,Montana,30,1042137,22,2.11,2.34,514,59.84,66.74
2016,homicide,Kansas,20,2912977,115,3.95,4.22,3634,146.74,150.22
2016,homicide,Indiana,18,6637898,379,5.71,5.96,12407,219.85,223.89
2016,homicide,South Dakota,46,863693,19,2.2,2.49,671,92.29,97.73
2016,homicide,Massachusetts,25,6827280,100,1.47,1.49,3432,59.68,58.17
2016,homicide,Virginia,51,8417651,364,4.32,4.41,11564,160.91,162.05
2016,homicide,District of Colu,11,687576,102,14.84,12.69,3620,597.85,510.98
2016,homicide,Iowa,19,3133210,50,1.6,1.7,1638,62.5,64.08
2016,homicide,Arizona,4,6944767,316,4.55,4.72,9698,167.57,167.18
2015,homicide,West Virginia,54,1843332,58,3.15,3.35,1578,104.77,109.5
2015,homicide,Florida,12,20219111,896,4.43,4.75,28759,176.38,180.6
2015,homicide,Illinois,17,12859585,703,5.47,5.54,25547,231.92,230.97
2015,homicide,Minnesota,27,5484002,99,1.81,1.9,3270,69.84,73.28
2015,homicide,Maryland,24,5988528,457,7.63,7.94,15721,305.85,312.38
2015,homicide,Rhode Island,44,1056886,10,0.95,0.99,329,37.08,35.67
2015,homicide,Idaho,16,1652495,26,1.57,1.55,529,37.49,38.46
2015,homicide,New Hampshire,33,1337480,14,1.05,1.11,395,35.33,40.17
2015,homicide,North Carolina,37,10037218,455,4.53,4.71,14573,170.96,174.51
2015,homicide,Vermont,50,625810,11,1.76,1.76,219,42.39,44.4
2015,homicide,Connecticut,9,3588561,83,2.31,2.53,2604,86.41,92.13
2015,homicide,Delaware,10,942065,55,5.84,6.34,1931,247.03,252.97
2015,homicide,New Mexico,35,2090071,109,5.22,5.7,3416,193.95,202.98
2015,homicide,California,6,38904296,1499,3.85,3.8,49444,146.42,143.21
2015,homicide,New Jersey,34,8870312,284,3.2,3.41,9478,125.99,132.67
2015,homicide,Wisconsin,55,5762927,180,3.12,3.26,5973,122.71,126.09
2015,homicide,Oregon,41,4018542,105,2.61,2.63,2820,83.82,85.06
2015,homicide,Nebraska,31,1892059,51,2.7,2.73,1691,104.78,104.38
2015,homicide,Pennsylvania,42,12789838,531,4.15,4.43,18122,170.76,173.8
2015,homicide,Washington,53,7167287,175,2.44,2.5,5410,88.13,91.18
2015,homicide,Louisiana,22,4666998,460,9.86,10.06,15028,374.6,377.14
2015,homicide,Georgia,13,10183353,600,5.89,5.92,20094,226.24,227.26
2015,homicide,Alabama,1,4854803,396,8.16,8.55,12096,295.56,302.65
2015,homicide,Utah,49,2983626,49,1.64,1.61,1602,59.84,56.93
2015,homicide,Ohio,39,11622315,502,4.32,4.53,16511,168.84,173.82
2015,homicide,Texas,48,27468531,1134,4.13,4.12,35661,146.95,146.22
2015,homicide,Colorado,8,5454328,149,2.73,2.7,4448,93.71,92.7
2015,homicide,South Carolina,45,4896006,366,7.48,7.66,11157,272.05,273.47
2015,homicide,Oklahoma,40,3910518,222,5.68,5.89,6870,205.95,209.08
2015,homicide,Tennessee,47,6595354,372,5.64,5.86,11766,210.79,216.83
2015,homicide,Wyoming,56,586389,14,2.39,2.32,442,88.2,86.36
2015,homicide,Hawaii,15,1422999,--,--,--,.,.,16.19
2015,homicide,North Dakota,38,755537,11,1.46,1.69,293,45.18,49.26
2015,homicide,Kentucky,21,4429126,184,4.15,4.15,5235,139.36,142.14
2015,homicide,Maine,23,1329098,16,1.2,1.26,435,40.32,43.81
2015,homicide,New York,36,19657321,418,2.13,2.15,14117,84.74,83.52
2015,homicide,Nevada,32,2868531,140,4.88,4.97,3974,162.3,166.41
2015,homicide,Alaska,2,738430,44,5.96,5.55,1456,219.15,211.76
2015,homicide,Michigan,26,9934483,446,4.49,4.84,14282,170.79,178.02
2015,homicide,Arkansas,5,2979732,158,5.3,5.44,4904,195.91,196.8
2015,homicide,Mississippi,28,2990231,268,8.96,9.25,7285,285.41,293.8
2015,homicide,Missouri,29,6075411,466,7.67,8.05,15440,301.58,307.07
2015,homicide,Montana,30,1031495,24,2.33,2.56,740,86.51,92.97
2015,homicide,Kansas,20,2910717,100,3.44,3.52,3354,134.93,132.93
2015,homicide,Indiana,18,6611442,306,4.63,4.8,10526,186.48,188.81
2015,homicide,South Dakota,46,854663,17,1.99,2.28,603,83.48,91.26
2015,homicide,Massachusetts,25,6797484,94,1.38,1.39,3398,59.11,57.02
2015,homicide,Virginia,51,8367303,288,3.44,3.45,9664,134.63,134.02
2015,homicide,District of Colu,11,677014,109,16.1,13.21,3959,663.16,544.78
2015,homicide,Iowa,19,3122541,50,1.6,1.72,1735,66.17,67.34
2015,homicide,Arizona,4,6832810,250,3.66,3.76,7742,135.25,133.96
2014,homicide,West Virginia,54,1850569,65,3.51,3.76,1777,116.82,123.19
2014,homicide,Florida,12,19853880,840,4.23,4.54,27325,169.91,174.56
2014,homicide,Illinois,17,12885092,624,4.84,4.92,22925,206.79,207.95
2014,homicide,Minnesota,27,5452665,61,1.12,1.15,1932,41.33,42.93
2014,homicide,Maryland,24,5960064,266,4.46,4.6,8890,173.02,175.62
2014,homicide,Rhode Island,44,1056511,13,1.23,1.18,487,54.72,49.7
2014,homicide,Idaho,16,1632248,25,1.53,1.68,856,61.11,63.52
2014,homicide,New Hampshire,33,1334257,10,0.75,0.83,232,20.68,23.67
2014,homicide,North Carolina,37,9937295,401,4.04,4.1,12597,148.58,150.47
2014,homicide,Vermont,50,625693,--,--,--,.,.,46.2
2014,homicide,Connecticut,9,3595697,57,1.59,1.68,1895,62.49,64.38
2014,homicide,Delaware,10,933131,42,4.5,4.88,1364,175.07,180.63
2014,homicide,New Mexico,35,2090236,90,4.31,4.45,2963,167.12,167.1
2014,homicide,California,6,38586706,1322,3.43,3.38,43502,129.32,126.38
2014,homicide,New Jersey,34,8867277,271,3.06,3.3,9583,126.93,134.25
2014,homicide,Wisconsin,55,5753199,127,2.21,2.28,4313,88.33,89.81
2014,homicide,Oregon,41,3965447,69,1.74,1.74,1725,51.69,53.05
2014,homicide,Nebraska,31,1879955,40,2.13,2.13,1339,83.21,82.79
2014,homicide,Pennsylvania,42,12792392,477,3.73,4.01,15946,149.62,153.83
2014,homicide,Washington,53,7057531,142,2.01,2.06,4635,76.34,77.1
2014,homicide,Louisiana,22,4645938,426,9.17,9.26,14395,358.85,359.28
2014,homicide,Georgia,13,10071204,516,5.12,5.1,17372,196.9,196.81
2014,homicide,Alabama,1,4843737,298,6.15,6.49,9036,220.3,228.59
2014,homicide,Utah,49,2938327,50,1.7,1.76,1543,58.36,58.64
2014,homicide,Ohio,39,11606573,439,3.78,3.99,14718,150.09,154.62
2014,homicide,Texas,48,26963092,989,3.67,3.66,31018,129.87,129.76
2014,homicide,Colorado,8,5352637,111,2.07,2.08,3459,73.96,75.09
2014,homicide,South Carolina,45,4826858,272,5.64,5.69,8755,215.34,212.92
2014,homicide,Oklahoma,40,3879187,157,4.05,4.13,4819,145.24,146.86
2014,homicide,Tennessee,47,6544617,280,4.28,4.42,9152,164.56,167.55
2014,homicide,Wyoming,56,583159,11,1.89,1.85,279,55.67,55.06
2014,homicide,Hawaii,15,1415335,--,--,--,.,.,10.83
2014,homicide,North Dakota,38,738736,--,--,--,.,.,25.74
2014,homicide,Kentucky,21,4416992,143,3.24,3.35,4111,109.27,114.06
2014,homicide,Maine,23,1331217,16,1.2,1.33,449,41.27,48.26
2014,homicide,New York,36,19653431,385,1.96,1.94,13171,78.73,75.88
2014,homicide,Nevada,32,2818935,114,4.04,4.14,3489,144.25,147.67
2014,homicide,Alaska,2,737075,21,2.85,2.62,587,88,83.84
2014,homicide,Michigan,26,9932033,417,4.2,4.43,13830,164.63,168.13
2014,homicide,Arkansas,5,2968759,161,5.42,5.72,4418,176.5,184.89
2014,homicide,Mississippi,28,2991892,266,8.89,9.14,8387,326.9,331.6
2014,homicide,Missouri,29,6059130,337,5.56,5.79,10936,213.33,216.78
2014,homicide,Montana,30,1022657,19,1.86,1.9,441,51.7,55.86
2014,homicide,Kansas,20,2901861,83,2.86,2.88,2670,107.35,106.45
2014,homicide,Indiana,18,6596019,268,4.06,4.19,8819,155.98,158.07
2014,homicide,South Dakota,46,849670,11,1.3,1.33,303,42.01,43.01
2014,homicide,Massachusetts,25,6764864,70,1.04,1.02,2494,43.42,41.75
2014,homicide,Virginia,51,8315430,247,2.97,2.98,7894,110.14,111.57
2014,homicide,District of Colu,11,663603,72,10.85,9.28,2604,444.2,379.81
2014,homicide,Iowa,19,3110643,42,1.35,1.32,982,37.47,37.78
